"city","state","population"
"New York","NY",8550405
"Los Angeles","CA",3971883
"Chicago","IL",2720546
"Houston","TX",2296224
"Philadelphia","PA",1567442
"Phoenix","AZ",1563025
"San Antonio","TX",1469845
"San Diego","CA",1394928
"Dallas","TX",1300092
"San Jose","CA",1026908
"Austin","TX",931830
"Jacksonville","FL",868031
"San Francisco","CA",864816
"Indianapolis","IN",853173
"Columbus","OH",850106
"Fort Worth","TX",833319
"Charlotte","NC",827097
"Seattle","WA",684451
"Denver","CO",682545
"El Paso","TX",681124
"Detroit","MI",677116
"Washington","DC",672228
"Boston","MA",667137
"Memphis","TN",655770
"Nashville","TN",654610
"Portland","OR",632309
"Oklahoma City","OK",631346
"Las Vegas","NV",623747
"Baltimore","MD",621849
"Louisville","KY",615366
"Milwaukee","WI",600155
"Albuquerque","NM",559121
"Tucson","AZ",531641
"Fresno","CA",520052
"Sacramento","CA",490712
"Kansas City","MO",475378
"Long Beach","CA",474140
"Mesa","AZ",471825
"Atlanta","GA",463878
"Colorado Springs","CO",456568
"Virginia Beach","VA",452745
"Raleigh","NC",451066
"Omaha","NE",443885
"Miami","FL",441003
"Oakland","CA",419267
"Minneapolis","MN",410939
"Tulsa","OK",403505
"Wichita","KS",389965
"New Orleans","LA",389617
"Arlington","TX",388125
"Cleveland","OH",388072
"Bakersfield","CA",373640
"Tampa","FL",369075
"Aurora","CO",359407
"Honolulu","HI",352769
"Anaheim","CA",350742
"Santa Ana","CA",335400
"Corpus Christi","TX",324074
"Riverside","CA",322424
"St. Louis","MO",315685
"Lexington","KY",314488
"Stockton","CA",305658
"Pittsburgh","PA",304391
"St. Paul","MN",300851
"Anchorage","AK",298695
"Cincinnati","OH",298550
"Henderson","NV",285667
"Greensboro","NC",285342
"Plano","TX",283558
"Newark","NJ",281944
"Toledo","OH",279789
"Lincoln","NE",277348
"Orlando","FL",270934
"Chula Vista","CA",265757
"Jersey City","NJ",264290
"Chandler","AZ",260828
"Fort Wayne","IN",260326
"Buffalo","NY",258071
"Durham","NC",257636
"St. Petersburg","FL",257083
"Irvine","CA",256927
"Laredo","TX",255473
"Lubbock","TX",249042
"Madison","WI",248951
"Gilbert","AZ",247542
"Norfolk","VA",246393
"Reno","NV",241445
"Winston-Salem","NC",241218
"Glendale","AZ",240126
"Hialeah","FL",237069
"Garland","TX",236897
"Scottsdale","AZ",236839
"Irving","TX",236607
"Chesapeake","VA",235429
"North Las Vegas","NV",234807
"Fremont","CA",232206
"Baton Rouge","LA",228590
"Richmond","VA",220289
"Boise City","ID",218281
"San Bernardino","CA",216108
"Spokane","WA",213272
"Birmingham","AL",212461
"Modesto","CA",211266
"Des Moines","IA",210330
"Rochester","NY",209802
"Tacoma","WA",207948
"Fontana","CA",207460
"Oxnard","CA",207254
"Moreno Valley","CA",204198
"Fayetteville","NC",201963
"Huntington Beach","CA",201899
"Yonkers","NY",201116
"Glendale","CA",201020
"Aurora","IL",200661
"Montgomery","AL",200602
"Columbus","GA",200579
"Amarillo","TX",198645
"Little Rock","AR",197992
"Akron","OH",197542
"Shreveport","LA",197204
"Augusta","GA",197182
"Grand Rapids","MI",195097
"Mobile","AL",194288
"Salt Lake City","UT",192672
"Huntsville","AL",190582
"Tallahassee","FL",189907
"Grand Prairie","TX",187809
"Overland Park","KS",186515
"Knoxville","TN",185291
"Worcester","MA",184815
"Brownsville","TX",183887
"Newport News","VA",182385
"Santa Clarita","CA",182371
"Port St. Lucie","FL",179413
"Providence","RI",179207
"Fort Lauderdale","FL",178590
"Chattanooga","TN",176588
"Tempe","AZ",175826
"Oceanside","CA",175691
"Garden Grove","CA",175393
"Rancho Cucamonga","CA",175236
"Cape Coral","FL",175229
"Santa Rosa","CA",174972
"Vancouver","WA",172860
"Sioux Falls","SD",171544
"Peoria","AZ",171237
"Ontario","CA",171214
"Jackson","MS",170674
"Elk Grove","CA",166913
"Springfield","MO",166810
"Pembroke Pines","FL",166611
"Salem","OR",164549
"Corona","CA",164226
"Eugene","OR",163460
"McKinney","TX",162898
"Fort Collins","CO",161175
"Lancaster","CA",161103
"Cary","NC",159769
"Palmdale","CA",158351
"Hayward","CA",158289
"Salinas","CA",157380
"Frisco","TX",154407
"Springfield","MA",154341
"Pasadena","TX",153784
"Macon","GA",153515
"Alexandria","VA",153511
"Pomona","CA",153266
"Lakewood","CO",152597
"Sunnyvale","CA",151754
"Escondido","CA",151451
"Kansas City","KS",151306
"Hollywood","FL",149728
"Clarksville","TN",149176
"Torrance","CA",148475
"Rockford","IL",148278
"Joliet","IL",147861
"Paterson","NJ",147754
"Bridgeport","CT",147629
"Naperville","IL",147100
"Savannah","GA",145674
"Mesquite","TX",144788
"Syracuse","NY",144142
"Pasadena","CA",142250
"Orange","CA",140992
"Fullerton","CA",140847
"Killeen","TX",140806
"Dayton","OH",140599
