"institution_name","institution_city","institution_state","institution_zip"
"University of Alabama at Birmingham","Birmingham","AL","""35233"""
"University of Alabama at Huntsville","Huntsville","AL","""35899"""
"The University of Alabama","Tuscaloosa","AL","""35487-0100"""
"Auburn University Main Campus","Auburn University","AL","""36849"""
"Huntingdon College","Montgomery","AL","""36106-2148"""
"Tuskegee University","Tuskegee","AL","""36088-1920"""
"University of Alaska Anchorage","Anchorage","AK","""99508-8046"""
"Arizona State University","Tempe","AZ","""85287"""
"University of Arizona","Tucson","AZ","""85721-0066"""
"Grand Canyon University","Phoenix","AZ","""85017"""
"Tucson College","Tucson","AZ","""85711"""
"John Brown University","Siloam Springs","AR","""72761"""
"Alliant International University","San Diego","CA","""92131-1799"""
"California State University - Bakersfield","Bakersfield","CA","""93311-1099"""
"California State University - Stanislaus","Turlock","CA","""95382"""
"California State University - San Bernardino","San Bernardino","CA","""92407-2397"""
"California State Polytechnic University - Pomona","Pomona","CA","""91768"""
"California State University - Chico","Chico","CA","""95929-0150"""
"California State University - Fresno","Fresno","CA","""93740"""
"California State University - Fullerton","Fullerton","CA","""92831-3599"""
"California State University - Long Beach","Long Beach","CA","""90840-0115"""
"California State University - Los Angeles","Los Angeles","CA","""90032"""
"California State University - Sacramento","Sacramento","CA","""95819-2694"""
"University of California - Berkeley","Berkeley","CA","""94720"""
"University of California - Davis","Davis","CA","""95616-8678"""
"University of California - Irvine","Irvine","CA","""92697"""
"University of California - Los Angeles","Los Angeles","CA","""90095"""
"University of California - Riverside","Riverside","CA","""92521"""
"University of California - San Diego","La Jolla","CA","""92093"""
"University of California - San Francisco","San Francisco","CA","""94143"""
"University of California - Santa Barbara","Santa Barbara","CA","""93106"""
"University of California - Santa Cruz","Santa Cruz","CA","""95064"""
"Claremont McKenna College","Claremont","CA","""91711-6400"""
"Foothill College","Los Altos Hills","CA","""94022"""
"Fresno Pacific University","Fresno","CA","""93702-4709"""
"Fullerton College","Fullerton","CA","""92832-2095"""
"Grossmont College","El Cajon","CA","""92020-1799"""
"Humboldt State University","Arcata","CA","""95521-8299"""
"Loma Linda University","Loma Linda","CA","""92354"""
"Brightwood College - Sacramento","Sacramento","CA","""95821"""
"Pasadena City College","Pasadena","CA","""91106-2003"""
"University of Colorado Denver","Aurora","CO","""80045"""
"University of Colorado at Colorado Springs","Colorado Springs","CO","""80933-7150"""
"Redstone College","Broomfield","CO","""80021-3465"""
"University of Colorado at Boulder","Boulder","CO","""80309-0017"""
"Colorado State University","Fort Collins","CO","""80523-0100"""
"Regis University","Denver","CO","""80221-1099"""
"Colorado State University - Pueblo","Pueblo","CO","""81001-4901"""
"University of Bridgeport","Bridgeport","CT","""06604-5620"""
"Central Connecticut State University","New Britain","CT","""06050"""
"Connecticut College","New London","CT","""06320"""
"University of Connecticut","Storrs","CT","""06269"""
"University of New Haven","West Haven","CT","""06516"""
"Quinnipiac University","Hamden","CT","""06518"""
"Sacred Heart University","Fairfield","CT","""06825-1000"""
"St Vincent's College","Bridgeport","CT","""06606-4201"""
"Trinity College","Hartford","CT","""06106-3100"""
"Wesleyan University","Middletown","CT","""06459"""
"Yale University","New Haven","CT","""06520"""
"Delaware State University","Dover","DE","""19901"""
"University of Delaware","Newark","DE","""19716"""
"Wilmington University","New Castle","DE","""19720"""
"American University","Washington","DC","""20016"""
"Catholic University of America","Washington","DC","""20064"""
"University of the District of Columbia","Washington","DC","""20008"""
"Gallaudet University","Washington","DC","""20002-3695"""
"George Washington University","Washington","DC","""20052"""
"Georgetown University","Washington","DC","""20057"""
"Howard University","Washington","DC","""20059-0001"""
"Southeastern University","Washington","DC","""20024-2788"""
"Strayer University","Washington","DC","""20005"""
"Barry University","Miami Shores","FL","""33161-6695"""
"Lynn University","Boca Raton","FL","""33431-5598"""
"Broward College","Fort Lauderdale","FL","""33301"""
"University of Central Florida","Orlando","FL","""32816"""
"Florida Atlantic University","Boca Raton","FL","""33431-0991"""
"Florida State University","Tallahassee","FL","""32306-1037"""
"University of Florida","Gainesville","FL","""32611"""
"University of Miami","Coral Gables","FL","""33124"""
"South Florida State College","Avon Park","FL","""33825-9356"""
"University of South Florida","Tampa","FL","""33620-9951"""
"Stetson University","DeLand","FL","""32723"""
"Trinity Baptist College","Jacksonville","FL","""32221"""
"Valencia College","Orlando","FL","""32801"""
"Columbus State University","Columbus","GA","""31907-5645"""
"Emory University","Atlanta","GA","""30322"""
"University of Georgia","Athens","GA","""30602"""
"Wesleyan College","Macon","GA","""31210-4462"""
"University of Hawaii at Manoa","Honolulu","HI","""96822-2301"""
"Hawaii Pacific University","Honolulu","HI","""96813"""
"University of Hawaii Maui College","Kahului","HI","""96732-1644"""
"Boise State University","Boise","ID","""83725"""
"Brigham Young University - Idaho","Rexburg","ID","""83460-4107"""
"Chicago State University","Chicago","IL","""60628"""
"Concordia University Chicago","River Forest","IL","""60305-1499"""
"DePaul University","Chicago","IL","""60604"""
"University of Illinois at Chicago","Chicago","IL","""60607-7128"""
"Benedictine University","Lisle","IL","""60532"""
"University of Illinois at Urbana-Champaign","Champaign","IL","""61820-5711"""
"Illinois Institute of Technology","Chicago","IL","""60616"""
"Knox College","Galesburg","IL","""61401"""
"Lewis University","Romeoville","IL","""60446-2200"""
"Monmouth College","Monmouth","IL","""61462-1998"""
"Northern Illinois University","Dekalb","IL","""60115-2828"""
"Northwestern University","Evanston","IL","""60208"""
"Northeastern Illinois University","Chicago","IL","""60625-4699"""
"Rockford University","Rockford","IL","""61108-2393"""
"Rush University","Chicago","IL","""60612"""
"Indiana University - Purdue University Fort Wayne","Fort Wayne","IN","""46805-1499"""
"University of Indianapolis","Indianapolis","IN","""46227-3697"""
"Indiana State University","Terre Haute","IN","""47809"""
"Indiana University Bloomington","Bloomington","IN","""47405-7000"""
"Indiana University Northwest","Gary","IN","""46408"""
"Purdue University Calumet","Hammond","IN","""46323-2094"""
"Purdue University - North Central","Westville","IN","""46391-9542"""
"Saint Josephs College","Rensselaer","IN","""47978"""
"Wabash College","Crawfordsville","IN","""47933"""
"Iowa State University","Ames","IA","""50011"""
"University of Iowa","Iowa City","IA","""52242-1316"""
"University of Northern Iowa","Cedar Falls","IA","""50614"""
"Simpson College","Indianola","IA","""50125"""
"Baker University","Baldwin City","KS","""66006-0065"""
"University of Kansas","Lawrence","KS","""66045-7535"""
"Kansas State University","Manhattan","KS","""66506"""
"Ottawa University","Ottawa","KS","""66067-3399"""
"Pittsburg State University","Pittsburg","KS","""66762"""
"University of Saint Mary","Leavenworth","KS","""66048-5082"""
"Wichita State University","Wichita","KS","""67260-0124"""
"University of Louisville","Louisville","KY","""40292-0001"""
"Spalding University","Louisville","KY","""40203"""
"University of New Orleans","New Orleans","LA","""70148"""
"Tulane University","New Orleans","LA","""70118-5698"""
"Bates College","Lewiston","ME","""04240"""
"Bowdoin College","Brunswick","ME","""04011-8448"""
"University of Maine","Orono","ME","""04469-5703"""
"University of Baltimore","Baltimore","MD","""21201"""
"Goucher College","Baltimore","MD","""21204-2794"""
"Johns Hopkins University","Baltimore","MD","""21218-2688"""
"University of Maryland - University College","Adelphi","MD","""20783-8010"""
"University of Maryland - College Park","College Park","MD","""20742"""
"Towson University","Towson","MD","""21252-0001"""
"Babson College","Wellesley","MA","""02457-0310"""
"Boston College","Chestnut Hill","MA","""02467"""
"Boston University","Boston","MA","""02215"""
"Brandeis University","Waltham","MA","""02454-9110"""
"Cambridge College","Cambridge","MA","""02138"""
"Clark University","Worcester","MA","""01610-1477"""
"Emerson College","Boston","MA","""02116-4624"""
"Harvard University","Cambridge","MA","""02138"""
"University of Massachusetts - Lowell","Lowell","MA","""01854-5104"""
"University of Massachusetts Amherst","Amherst","MA","""01003"""
